date,year,month,month_index,policy_count,new_policies,lapsed_policies,retention_rate,economic_stress,inflation_index,claims_count,average_claim_cost,total_claims,earned_premium,expense_ratio,operating_expense,loss_ratio,lapse_rate,operating_margin
2023-04-01,2023,4,52,12398,821,566,0.95437,0.71669,113.45705,509,1218.56,620246.23,1241848.18,0.23808000000000001,295661.49,0.49945,0.04563,0.25845
2023-05-01,2023,5,53,12578,805,537,0.95732,0.46667,113.72836,494,1180.29,583063.03,1238040.92,0.22943,284039.7,0.47096,0.04268,0.30248
2023-06-01,2023,6,54,12490,794,496,0.96032,0.39785,114.04416,449,1143.36,513367.26,1272012.86,0.23365,297199.86,0.40359,0.03968,0.36545
2023-07-01,2023,7,55,12536,802,485,0.96128,0.34449,114.28671,462,1163.04,537326.19,1262933.1,0.22407,282991.31,0.42546,0.03872,0.36051
2023-08-01,2023,8,56,12590,810,486,0.96143,0.32539,114.54365,434,1190.19,516541.68,1261725.69,0.21741,274306.51,0.40939,0.03857,0.37634
2023-09-01,2023,9,57,12922,736,545,0.95781,0.31522,114.79804,452,1248.65,564390.95,1330857.1,0.21315,283668.29,0.42408,0.04219,0.37437
2023-10-01,2023,10,58,13013,791,535,0.9589,0.25449,115.01307,351,1300.3,456406.14,1347386.38,0.21009,283072.04,0.35,0.0411,0.44141
2023-11-01,2023,11,59,13252,825,540,0.95925,0.06909,115.22357,426,1155.58,492278.3,1404575.21,0.21488,301813.7,0.35,0.04075,0.43961
2023-12-01,2023,12,60,13187,805,607,0.95395,0.20268,115.46672,434,1362.64,591387.1,1425168.93,0.22415,319444.75,0.41496,0.04605,0.3669
2024-01-01,2024,1,61,13135,817,568,0.95672,0.14164,115.68716,448,1379.24,617901.55,1384436.11,0.2229,308596.04,0.44632,0.04328,0.33031
2024-02-01,2024,2,62,13288,848,550,0.9586,0.14356,115.96892,528,1193.74,630293.25,1402434.98,0.23086,323771.99,0.44943,0.0414,0.33242
2024-03-01,2024,3,63,12996,888,679,0.94773,0.1412,116.18663,489,1187.52,580699.21,1363424.26,0.23706,323208.1,0.42591,0.05227,0.34139
2024-04-01,2024,4,64,13028,847,510,0.96082,0.1641,116.40899,489,1230.73,601826.64,1329711.43,0.23456,311894.65,0.4526,0.03918,0.32038
2024-05-01,2024,5,65,12721,824,471,0.96295,0.04449,116.6622,450,1162.63,523185.74,1264911.25,0.22904,289714.15,0.41361,0.03705,0.35933
2024-06-01,2024,6,66,12774,833,420,0.96712,0.13786,116.85649,459,1226.03,562746.67,1298221.48,0.22621,293664.87,0.43348,0.03288,0.34807
2024-07-01,2024,7,67,12863,773,447,0.96521,0.08679,117.08528,419,1194.45,500473.27,1301461.62,0.2234,290748.67,0.38455,0.03479,0.39204
2024-08-01,2024,8,68,12956,839,476,0.96327,0.12466000000000001,117.25818,403,1137.28,458323.03,1363653.6,0.2137,291409.81,0.35,0.03673,0.44095
2024-09-01,2024,9,69,13314,789,498,0.96262,0.12689,117.54009,416,1245.43,518096.84,1401349.5,0.21673,303709.59,0.36971,0.03738,0.41696
2024-10-01,2024,10,70,13299,817,512,0.96151,0.13016,117.76476,422,1200.04,506415.72,1319876.07,0.21424,282772.53,0.38368,0.03849,0.40948
2024-11-01,2024,11,71,13461,835,555,0.95876,0.05996,117.97325,433,1263.77,547210.95,1422463.19,0.22441,319221.68,0.38469,0.04124,0.39368
2024-12-01,2024,12,72,13358,842,589,0.95587,0.12979,118.15929,507,1276.41,647139.33,1430606.96,0.22244,318220.21,0.45235,0.04413,0.32628
2025-01-01,2025,1,73,13356,918,617,0.9538,0.19118,118.40192,523,1242.46,649809.17,1460509.47,0.22867,333973.01,0.44492,0.0462,0.32318
2025-02-01,2025,2,74,13499,846,494,0.96337,0.14076,118.6068,450,1322.38,595072.82,1450759.8,0.2376,344694.78,0.41018,0.03663,0.34648
2025-03-01,2025,3,75,13409,913,509,0.96205,0.1916,118.82845,497,1238.3,615437.36,1414040.68,0.23565,333215.09,0.43523,0.03795,0.32191
2025-04-01,2025,4,76,13278,858,504,0.96206,0.27905,119.13345,502,1238.99,621975.1,1367952.26,0.24071,329282.91,0.45468,0.03794,0.30978
2025-05-01,2025,5,77,12879,801,438,0.96597,0.31967,119.38478,453,1297.36,587702.14,1390539.99,0.22986,319626.57,0.42264,0.03403,0.33946
2025-06-01,2025,6,78,13272,819,474,0.9643,0.33475,119.60208,463,1185.84,549045.05,1409765.21,0.22697,319979.51,0.38946,0.0357,0.38731
2025-07-01,2025,7,79,13212,832,471,0.96433,0.29571,119.8641,433,1210.18,524010.05,1368877.15,0.22739,311270.24,0.3828,0.03567,0.38625
2025-08-01,2025,8,80,13198,777,494,0.96255,0.31071,120.10687,508,1216.36,617908.51,1388970.78,0.21889,304034.54,0.44487,0.03745,0.34238
2025-09-01,2025,9,81,13402,751,512,0.96179,0.46352,120.4061,466,1316.04,613273.76,1449701.95,0.21864,316957.7,0.42303,0.03821,0.36349
2025-10-01,2025,10,82,13361,791,600,0.95509,0.41878,120.73365,422,1312.68,553949.37,1460980.26,0.21857,319325.14,0.37916,0.04491,0.39829
2025-11-01,2025,11,83,13460,835,600,0.95542,0.42357,120.96477,480,1294.86,621534.47,1516358.02,0.22574,342305.43,0.40989,0.04458,0.36176
2025-12-01,2025,12,84,13653,821,680,0.95018,0.42122,121.2535,479,1368.32,655425.11,1520432.62,0.23327,354669.02,0.43108,0.04982,0.33005
